Distance,Calories,Time,AvgHR,MaxHR,TE,AvgCadence,AvgPace,AvgVertical,AvgGCT
10.93,734,58:06:00,157,179,4.4,180,05:19,7.1,256
10.34,671,59:04:00,153,181,3.5,171,05:43,7.4,254
9.96,656,54:33:00,154,177,4,173,05:29,7.9,261
10.48,716,01:04:19,153,182,3.3,166,06:08,7.2,264
16.64,"1,025",01:31:19,149,170,3.5,175,05:29,8,260
9.99,668,55:08:00,156,179,3.7,174,05:31,7.7,263
8.53,583,47:06:00,158,179,3.8,174,05:31,7.8,271
15.01,945,01:22:20,155,177,3.7,173,05:29,7.6,265
8.22,575,45:47:00,161,181,3.9,173,05:34,7.6,273
8.68,561,47:38:00,153,179,3.5,173,05:29,7.9,270
8.74,601,48:20:00,161,177,3.9,175,05:32,7.5,261
22.01,"1,423",02:01:18,158,172,5,175,05:31,7.5,266
9.57,661,52:27:00,167,185,4.8,176,05:29,7.3,272
14.85,914,01:37:44,146,167,3.1,163,06:35,8.6,288
7.46,523,41:25:00,166,188,4.8,176,05:33,7.3,274
13.81,877,01:19:27,159,183,4.5,175,05:45,7,276
10.18,741,56:05:00,170,190,5,170,05:31,7.8,276
7.25,448,40:08:00,151,183,3.6,162,05:32,8.9,283
8.69,598,47:29:00,165,192,5,174,05:28,7.2,277
10.55,698,01:08:24,151,184,3.9,158,06:29,7.6,290
10.6,732,01:02:46,156,184,4.2,165,05:55,7.8,291
7.68,570,46:15:00,161,188,4.2,159,06:01,8.7,299
11.05,762,01:06:51,155,181,3.4,164,06:03,8,289
10.57,727,56:51:00,165,191,4.7,174,05:23,7.6,267
12.53,785,01:00:37,166,178,4.7,173,04:50,7.7,267
5.63,363,29:02:00,161,179,3.4,175,05:09,7.8,263
8.67,587,47:37:00,160,184,4.2,179,05:29,7.1,263
10.57,675,57:54:00,157,182,4.2,179,05:29,6.7,260
8.19,516,45:12:00,154,183,3.8,171,05:31,7.8,276
10.48,730,59:50:00,162,187,5,167,05:43,8.1,281
8.69,609,49:05:00,162,183,4.8,171,05:39,7.6,279
8.18,512,45:58:00,153,183,3.9,172,05:37,7.7,275
8.7,578,49:44:00,153,178,4.5,174,05:43,7.9,251
7.79,520,42:13:00,165,190,4.8,175,05:25,7.9,252
7.48,483,39:54:00,161,186,4.4,176,05:20,7.7,243
7.24,486,39:54:00,164,182,4.6,175,05:30,7.3,267
5.43,339,37:11:00,139,155,2.6,157,06:51,8.9,299
8.15,545,47:54:00,157,176,4.5,166,05:52,7.9,282
7.21,510,49:36:00,154,182,3.8,163,06:53,8.4,277
9.45,673,57:07:00,166,187,5,172,06:03,7.5,261
2.53,141,11:49,161,176,2.9,180,04:41,7.7,239
8.51,594,50:24:00,161,187,4.6,175,05:55,7.7,252
10.35,680,58:16:00,162,185,4.9,177,05:38,7.4,254
8.32,511,44:52:00,164,183,5,182,05:24,7.1,247
13.69,905,01:25:07,158,182,4.3,163,06:13,8.4,274
4.84,441,39:03:00,161,188,4.4,142,08:04,6.2,288
8.07,535,44:55:00,162,177,4.8,174,05:34,7.7,253
11.09,779,01:08:16,160,177,4.6,159,06:09,8.5,292
7.48,524,42:39:00,166,182,4.7,175,05:42,7.7,254
6.28,448,35:16:00,170,187,4.7,168,05:37,7.9,267
5.91,440,38:40:00,157,170,3.5,158,06:32,8.8,276
10.1,732,56:59:00,171,190,5,178,05:39,7.3,258
7.52,495,40:40:00,165,181,3.7,181,05:24,7,256
11.88,813,01:06:14,166,178,4.8,168,05:35,8,260
12.54,919,01:14:46,167,184,5,158,05:58,8.9,269
7.06,464,37:38:00,165,186,3.9,181,05:20,6.9,256
12.39,926,01:16:01,168,190,5,162,06:08,8.7,276
8.14,561,44:05:00,169,188,5,174,05:25,7.7,268
10.14,706,56:53:00,168,184,5,166,05:37,8.4,276
8.35,544,43:53:00,167,184,4.6,171,05:15,8.2,252
8.12,548,44:31:00,164,183,4.7,174,05:29,7.7,252
8.15,518,44:46:00,160,184,4,177,05:30,7,269
7.51,515,40:19:00,170,185,5,181,05:22,7.1,256
7.34,513,40:14:00,172,191,4.9,170,05:29,8,262
19.6,"1,255",01:59:53,160,186,4,160,06:07,8.4,293
